Jaar;jan;feb;mrt;apr;mei;jun;jul;aug;sep;okt;nov;dec
1998;4,73871;6,35357;7,55484;9,41333;14,9387;15,81;16,3;16,5;15,0467;9,86;3,67667;4,56129
1999;5,20323;3,05714;7,33226;9,84;14,2032;14,9667;19,1323;17,5;17,35;10,63;6,70667;4,77097
2000;4,32903;5,85517;6,79677;9,98667;14,7323;16,0033;15,5194;17,4161;15,8167;11,3194;7,79;5,06774
2001;2,60645;4,46786;4,94516;8,28333;14,1419;15,1567;18,5323;18,4839;13,4333;14,2194;7,12;2,85806
2002;4,41935;7,11429;7,22258;9,33;13,371;16,5033;17,5516;18,5968;14,5533;9,46129;7,86667;2,89032
2003;2,49355;1,81429;7,31613;9,93;13,1806;17,84;18,8355;19,2548;13,92;7,46451;7,99667;4
2004;3,5871;4,82069;5,92258;10,3533;12,2935;15,5233;16,7032;18,8419;15,1767;11,3097;6,29;3,23871
2005;5,25484;2,38929;6,54194;10,3867;12,5742;16,76;17,6548;16,1935;15,7167;13,3419;6,85;3,97742
2006;1,46452;2,88929;3,93226;8,98333;14,4968;16,6767;22,3097;16,3548;17,9167;13,5774;9,15667;6,50645
2007;7,09355;6,03571;7,96452;13,0567;14,1226;17,4767;17,0097;17,1097;13,7867;10,0677;6,91;3,77742
2008;6,50323;5,13793;5,9;8,92667;15,6742;16,4867;18,0516;17,3935;13,61;10,0806;6,85333;2,44839
2009;0,7967743;3,316003;6,325807;12,17667;13,85484;15,64333;18,08064;18,45484;14,96333;10,69355;9,473333;2,225806
2010;-0,4548388;1,66703;6,435484;9,723333;10,49355;16,44;19,87419;16,7871;13,55333;10,40323;5,806667;-1,145161
2011;3,519355;4,544132;6,048388;13,11667;13,97419;16,11667;15,89032;16,8871;15,64;11,41935;7,19;6,480645
2012;4,880645;0,8000002;8,293549;8,383333;14,45161;14,86667;17,25484;18,45806;14,15333;10,50323;6,84;5,03871
2013;2,016129;1,727351;2,454839;8,126667;11,49355;15,25333;19,19032;18,07097;14,44667;12,16774;6,73;5,925807
2014;5,651613;6,403289;8,412904;12,11333;13,23871;16,18333;19,75161;16,09032;15,85333;13,42903;8,173333;4,845161
2015;4,019355;3,500931;6,158065;8,99;12,36452;15,6;18,38387;18,45484;13,4;9,890323;9,88;9,629032
2016;4,783871;4,582759;5,358065;8,68;14,50968;16,82;18,37097;17,88064;17,26333;9,887096;5,413333;4,667742
2017;1,564516;5,012079;8,593549;8,556666;14,97097;18,04333;17,94516;17,24839;13,67667;13,34194;7,263333;4,880645
2018;5,622581;0,7958415;4,73871;12,15333;16,42581;17,49667;20,7;18,50645;14,74667;11,94194;6,81;6,13871
2019;3,506452;6,02002;8,03871;10,92;11,71935;18,13;18,79032;18,42903;14,53;11,55806;6,366667;5,841935
2020;6,209678;7,203448;6,819355;11,11667;13,10968;17,48333;16,9871;20,37097;15,15;11,29355;8,893333;5,522581
2021;3,380645;4,248235;6,393548;6,653333;11,21935;18,23;17,9871;16,93548;15,93;11,66127;-999,9;-999,9
